roundNumber, questionNumber, question, answerA, answerB, answerC, answerD, correctAnswer, points (optional)
1,1,What is the largest country by land area?,Canada,China,United States,Russia,D,10
1,2,The Nile empties into which sea?,Red Sea,Black Sea,Mediterranean Sea,Arabian Sea,C,10
1,3,What is the largest desert on Earth?,Antarctic,Arabian,Gobi,Sahara,A,20
1,4,Which is the capital city at the highest elevation?,La Paz,Kathmandu,Bogota,Mexico City,A,20
1,5,What is the name of the strait that separates Spain and Morocco?,Dardanelles,Strait of Hormuz,Strait of Gibraltar,Bosphorus Strait,C,20
1,6,What is the deepest lake in the world?,Caspian Sea,Baikal,Crater Lake,Lake Superior,B,30
1,7,Which city in the US is the oldest persistent seat of government?,Albany,Boston,Annapolis,Santa Fe,D,30
1,8,What country is an enclave within South Africa?,Lesotho,Namibia,Eswatini,Botswana,A,40
2,1,What's the name of the river that runs through Dallas?,Brazos,Colorado,Rio Grande,Trinity,D,10
2,2,"What was the year that the federal government moved to Washington, DC?",1776,1789,1791,1800,D,10
2,3,The 1936 exposition celebrated what anniversary?,US Centennial,Dallas Bicentennial,Texas Centennial,Texas Sesquicentennial,C,20
2,4,"Who designed the original 1791 plan for Washington, DC?",Benjamin Banneker,Benjamin Franklin,Andrew Ellicott,Pierre-Charles L'Enfant,D,20
2,5,Who is Dallas Love Field named after?,Lt. Moss L. Love,Henry Love,Lovejoy Station,Love Canal,A,20
2,6,What year was the city of Alexandria retroceded to Virginia?,1812,1846,1861,It was never part of DC,B,30
2,7,Which of these major US companies opened their first storefront in Dallas?,Whataburger,Texas Roadhouse,Blockbuster Video,Circle K,C,30
2,8,"Who was the first mayor of DC, elected in 1974 after the passage of the DC Home Rule Act?",Anthony Williams,Marion Barry,Sharon Pratt,Walter Washington,D,40
3,1,"This number one song ""…Baby One More Time"" was a Billboard Hot 100 chart topper for two weeks in early 1999 song by who?",Britney Spears,Christina Aguilera,Mandy Moore,Alanis Morrisette,A,10
3,2,Which of these Taylor Swift songs is her longest running number one hit on the Billboard Hot 100?,Love Story,The Fate of Ophelia,Blank Space,Anti-Hero,B,10
3,3,"Coming out of Las Vegas, this song was the most streamed song on Apple Music from 2000-2010.",Yellow (Coldplay),I bet you look good on the dance floor (Arctic Monkeys),Stronger (Kanye West),Mr. Brightside (The Killers),D,20
3,4,"During 2020, this artist topped Spotify's most-streamed female artist list for the second year in a row.",Dua Lipa,Billie Eilish,Halsey,Taylor Swift,B,20
3,5,"Dissatisfied with the state of modern music & MTV, Damon Albarn (formerly of this band) decided to partner with a comic book artist to form and create Gorillaz in 1998.",Oasis,Blur,Suede,Pulp,B,20
3,6,This top selling artist of the 2010's has the top #1 and #2 albums of the decade with more than 60 million sold copies and both are just named with numbers!,Ed Sheeran,Adele,Katy Perry,Drake,B,30
3,7,"This singer/songwriter was going though hard times when he ran away from his divorce, band, and NYC to hole up in LA in a hotel where he wrote the hit song Iris from 1998's movie City of Angels on a broken guitar.",Fiona Apple,Mariah Carey,John Rzeznik,Jakob Dylan,C,30
3,8,"While the rise of grunge in the early-mid 1990's is often blamed for killing Hair Metal, this band's reputation was ruined because an unpopular kid on Beavis and Butt-Head wore their tee-shirt.",Winger,Poison,Def Leppard,Skid Row,A,40
4,1,This first artificial satellite went into orbit in 1957.,Luna,Sputnik,Explorer,Vanguard,B,10
4,2,This largest of Saturn's 274 known moons is actually larger than the planet Mercury and almost a big as Mars.,Rhea,Enceladus,Titan,Hyperion,C,10
4,3,"This hypothetical planet with some evidence that it originated in the outer solar system is theorized to have collided with the Earth roughly 4.5 billion years ago, creating the Moon.",Planet X,Theia,Krypton,Nemesis,B,20
4,4,The last total solar eclipse in the US was in April 2024.  The next one viewable from mainland US will be in what year?,2027,2030,2039,2045,D,20
4,5,"As Voyager 1 was leaving the solar system, this famous astronomer asked NASA to turn its camera back to Earth to capture the famous ""Pale Blue Dot"" depicting the Earth as a small speck in a band of sunlight.",Carl Sagan,Becky Smethhurst,Neil deGrasse Tyson,Sara Seager,A,20
4,6,"If you traveled at the speed of light to Tau Ceti and back like in the setting for Andy Weirs' Project Hail Mary, you'd practically not age more than a few days.  However, how much time would pass for those on Earth?",1 year,4 Years,24 years,108 years,C,30
4,7,"On November 12, 2023, a huge gamma radiation burst hit the European Space Agency's Integral satellite.  The source of this radiation was thought to be a flare from this rare object, with an 0.01 second energy output greater than the Sun over a million years.",Quasar,Magnetar,Pulsar,Blazar,B,30
4,8,"Also known as the Garnet Star, this 4th brightest star is a red supergiant in the Cepheus constellation and the largest known star visible by naked eye from Earth.",Stephenson 2 DFK 1,Antares,Betelgeuse,Mu Cephei,D,40
5,1,Who was the first Emperor of Rome?,Julius Caesar,Constantine,Augustus,Nero,C,10
5,2,This capital city of a south-east Asian country on the Red River is believed to be founded in the third century BCE and the oldest continually inhabited city in the region.,"Phnom Penh, Cambodia","Hanoi, Vietnam","Naypyidaw, Myanmar","Bangkok, Thailand",B,10
5,3,"Hadrian's Wall, found in this country, is believed to demark the northern boundary of the Roman Empire for over 300 years.",France,Scotland,Sweden,England,D,20
5,4,"The earliest form of checks as a monetary, commercial instrument was called ""Adesha"" and dates back to 300 to 200 BCE in this country.",China,Japan,India,Iran,C,20
5,5,This war that preceded the exile of one of the commanders to Saint Helena ended with the Battle of Waterloo.,Napoleonic Wars,World War I,War of 1812,Franco-Prussian War,A,20
5,6,Which Chinese dynasty built much of the Great Wall?,Ming,Yuan,Tang,Han,A,30
5,7,"The House of Habsburg, who ruled the Holy Roman Empire for hundreds of years, took their name from the Habsburg Castle which was built in the 1020s CE and exists in this present-day country even today.",Austria,Germany,France,Switzerland,D,30
5,8,"While Johannes Gutenberg is credited with inventing the first ""moveable, metal type"" printing press in the 1440's, engineers in this Asian country had perfected similar technology earlier and the oldest printed book using this method (the Jikji) still in existence is estimated from 1377.",Japan,Korea,China,Thailand,B,40
6,1,This show's theme song by the Rembrandts enjoyed 8 weeks at #1 on the Billboard Hot 100 Airplay chart in the mid-1990s.,Seinfeld,Frasier,The Drew Carey Show,Friends,D,10
6,2,Who directed the 1993 smash hit movie based on Michael Crichton's Jurassic Park?,Steven Spielberg,Ridley Scott,James Cameron,Robert Zemeckis,A,10
6,3,"The design of major features in this movie released in the 2000's was inspired by the Zhangjiajie National Forest Part in Hunan Province, China.",The Beach,Lord of the Rings,Avatar,Cast Away,C,20
6,4,This sequel from Disney is their highest grossing animated film worldwide.,Inside Out 2,Zootopia 2,Incredibles 2,Frozen 2,A,20
6,5,"During the Superbowl XLIX in 2015, this US company's $4.5mm commercial about a ""child who never grew up"" widely called the ""worst super bowl"" ad ever and resulted in their Chief Marketing Officer Matt Jauchius resigning months later after a vigorous defense.",Walmart,Nationwide,Chevron,CVS Health,B,20
6,6,This longest-running American Live-Action Sitcom (by Season) first premiered in 2005 on FX.,Two and a Half Men,It's Always Sunny in Philadelphia,30 Rock,Malcom in the Middle,B,30
6,7,What was the model of the iconic Nokia sliding phone featured in 1999's The Matrix?,Nokia 3110,Motorola StarTAC,Nokia 8110,Sony Ericsson T28,C,30
6,8,"This US actor who passed in 2023 played the same character, Detective John Munch, in 11 different TV series featured on 6 different networks.",Robert Urich,Eric Roberts,Ted Danson,Richard Belzer,D,40
7,1,"While the US and USSR/Russia have the most combined number of Olympic Medals at #1 and #2 respectively, this far smaller country is in a remarkably close #3rd place.",Great Britain,Germany,France,Italy,A,10
7,2,"Along with Great Britain and France, this is the only other country to have participated in 54 Olympic Games.",United States,Switzerland,Italy,Belgium,B,10
7,3,"The US has hosted the Summer Olympic games more than any other country, in St. Louis, Atlanta, and 2 times previously with this city hosting the Olympics again in 2028.",San Franscisco,Houston,Los Angeles,Las Vegas,C,20
7,4,This city is both the largest city and first non-predominately English-speaking city to have hosted the Summer Olympics twice.,Beijing,Seoul,Rio de Janeiro,Tokyo,D,20
7,5,This US state is the only state which has hosted the Winter Olympics more than once (so far!).,Utah,California,New York,Colorado,C,20
7,6,"While the US dominates the summer games, the most-medaled country in the Winter Games is this country which has won 10 (one tie) of the 24 Winter Olympics so far.",Norway,Canada,USSR/Russia,Sweden,A,30
7,7,"In 1994, the Winter and Summer Olympics were held in an offset year for the first time, with this northern-most city hosting the Winter Games.","Stockholm, Sweden","Lillehammer, Norway","Moscow, Russia","Calgary, Canada",B,30
7,8,"The Italian cities of Milan and Cortina d'Ampezzo, also known as ""the Queen of [this geographic feature]"", are hosting the 2026 Winter Olympic games next month.",Dolomites,Alps,Adriatic,Tuscany,A,40
